name,frequency,columns,internal_name,version
"subscriptions","DAILY","CONFIG_MANAGER;IS_CURRENT;LAST_UPDATE;PROFILE_NAME;SUBSCRIBER","SUBSCRIPTIONS",1
"options","DAILY","OPTION_NAME;OPTION_VALUE","OPTIONS",1
"contents","NEVER","AGGREGATED;BITFILE_ID;CACHED;COPIED;DAMAGED;FILE_HEXNAME;FILE_NAME;FILE_SIZE;FILESPACE_HEXNAME;FILESPACE_ID;FILESPACE_NAME;NODE_NAME;OBJECT_ID;SEGMENT;TYPE;VOLUME_NAME","CONTENTS",1
"backupsets","NEVER","BACKUPSET_NAME;DATATYPE;DATE_TIME;DESCRIPTION;DEVCLASS;NODE_NAME;OBJECT_ID;RETENTION;TOC_EXISTS;TYPE","BACKUPSETS",1
"drmmachine","NEVER","ADSM_SERVER;BUILDING;CHARACTERISTICS;DESCRIPTION;FLOOR;MACHINE_NAME;PRIORITY;RECINSTRUCTIONS;ROOM","DRMMACHINE",1
"drmsrpf","NEVER","DEVCLASS_NAME;MGMTCLASS_NAME;NODE_NAME;RPF_DELDATE;RPF_DELETE;RPF_NAME;RPF_SIZE;TYPE","DRMSRPF",1
"volumeusage","DAILY","COPY_TYPE;FILESPACE_ID;FILESPACE_NAME;NODE_NAME;STGPOOL_NAME;VOLUME_NAME","VOLUMEUSAGE",1
"san","NEVER","DEVICE;DEVICE_TYPE;IS_DATAMOVER;LUN;NODE_WWN;PORT_WWN;PRODUCT;SCSI_BUS;SCSI_PORT;SCSI_TARGET;SERIAL;VENDOR","SAN",1
"stgspacetrigger","NEVER","CHG_ADMIN;CHG_TIME;EXPANSION_PREFIX;EXPANSIONPCT;FULLPCT;STGPOOL","STGSPACETRIGGER",1
"drmstatus","NEVER","CHECKLABEL;CMDFILENAME;COURIERNAME;DBBEXPIREDAYS;FILEPROCESS;INSTRPREFIX;NONMOUNTNAME;PLANPREFIX;PLANVPOSTFIX;RPFEXPIREDAYS;VAULTNAME","DRMSTATUS",1
"media","NEVER","ACCESS;LIB_NAME;LOCATION;LRD;STATE;STATUS;STGPOOL_NAME;UPD_DATE;VOLUME_NAME","MEDIA",1
"domains","DAILY","ACTIVATE_DATE;ACTIVESTGPOOLS;ARCHRETENTION;BACKRETENTION;CHG_ADMIN;CHG_TIME;DEFMGMTCLASS;DESCRIPTION;DOMAIN_NAME;NUM_NODES;PROFILE;SET_LAST_ACTIVATED","DOMAINS",1
