tsmcode,alert
ANR8843E,critical
ANR8848W,high
ANR8873E,medium
ANR8925W,medium
ANR8926W,medium
ANR8938E,high
ANR8942E,medium
ANR8943E,high
ANR8944E,high
ANR8954E,medium
ANR8989E,high
ANR9778E,high
ANR9779E,medium
ANR9790W,medium
ANR9900W,medium
ANR9902W,medium
ANR9999D,high
